iter	Passed	Remaining
0	51	51509
1	51	25926
2	52	17401
3	52	13129
4	53	10565
5	53	8855
6	53	7634
7	54	6718
8	54	6003
9	54	5431
10	55	4963
11	55	4574
12	55	4244
13	56	3965
14	56	3723
15	57	3507
16	57	3318
17	57	3149
18	58	2999
19	58	2862
20	58	2740
21	59	2628
22	59	2525
23	59	2432
24	60	2345
25	60	2265
26	60	2192
27	61	2123
28	61	2058
29	61	1998
30	62	1945
31	62	1893
32	62	1843
33	63	1797
34	63	1753
35	63	1712
36	64	1672
37	64	1635
38	64	1600
39	65	1567
40	65	1535
41	65	1505
42	66	1476
43	66	1448
44	67	1422
45	67	1397
46	67	1373
47	68	1350
48	68	1328
49	68	1307
50	69	1286
51	69	1267
52	69	1248
53	70	1229
54	70	1212
55	70	1194
56	71	1178
57	71	1162
58	71	1147
59	72	1132
60	72	1117
61	72	1103
62	73	1090
63	73	1077
64	74	1064
65	74	1052
66	74	1040
67	75	1028
68	75	1017
69	75	1006
70	76	995
71	76	984
72	76	974
73	77	964
74	77	955
75	77	945
76	78	936
77	78	927
78	78	918
79	79	910
80	79	901
81	79	893
82	79	883
83	80	875
84	80	867
85	80	860
86	81	853
87	81	846
88	82	839
89	82	832
90	82	826
91	83	821
92	83	814
93	83	808
94	84	802
95	84	797
96	85	792
97	85	786
98	85	781
99	86	777
100	86	771
101	87	766
102	87	761
103	87	755
104	88	750
105	88	746
106	88	741
107	89	736
108	89	731
109	89	727
110	90	722
111	90	717
112	90	713
113	91	708
114	91	704
115	91	700
116	92	695
117	92	691
118	92	687
119	93	683
120	93	679
121	93	675
122	94	671
123	94	667
124	94	663
125	95	660
126	95	655
127	95	652
128	96	649
129	96	645
130	96	642
131	97	638
132	97	635
133	97	632
134	98	629
135	98	626
136	98	623
137	99	620
138	99	617
139	100	615
140	100	613
141	100	609
142	101	607
143	101	604
144	102	601
145	102	599
146	102	596
147	103	594
148	103	591
149	103	588
150	104	586
151	104	584
152	105	582
153	105	579
154	105	577
155	106	574
156	106	572
157	106	569
158	107	567
159	107	564
160	107	561
161	108	559
162	108	557
163	108	554
164	109	552
165	109	550
166	109	548
167	110	546
168	110	544
169	111	542
170	111	540
171	111	538
172	112	536
173	112	534
174	112	532
175	113	530
176	113	528
177	114	526
178	114	524
179	114	522
180	115	521
181	115	519
182	115	517
183	116	515
184	116	513
185	116	511
186	117	509
187	117	508
188	117	506
189	118	504
190	118	502
191	118	500
192	119	498
193	119	497
194	120	495
195	120	493
196	120	492
197	121	490
198	121	489
